Date,Description,Amount,Category
2024-01-17,Movie,19.24,Entertainment
2024-01-11,Freelance Payment,18.75,Income
2024-01-16,Groceries,808634.76,Food
2024-01-26,Metro,-18.36,Transport
2024-01-08,Flipkart,6.54,Shopping
2024-01-17,Concert,56.14,Entertainment
2024-01-20,Amusement Park,4.11,Entertainment
2024-01-14,Amusement Park,51.58,Entertainment
2024-01-25,BookMyShow,9.81,Entertainment
2024-01-22,Interest Credit,10.0,Income
2024-01-22,Spotify,112.68,Entertainment
2024-01-06,Concert,7.8,Entertainment
2024-01-20,Interest Credit,58.72,Income
2024-01-02,Donation,35.42,Other
2024-01-03,Water Bill,26.32,Bills
2024-01-02,Pizza Hut,0.78,Food
2024-01-07,Myntra,205.57,Shopping
2024-01-07,Internet Bill,7.04,Bills
2024-01-12,Cab Fare,7.05,Transport
2024-01-03,Shopping Mall,9.54,Shopping
2024-01-30,BookMyShow,54.15,Entertainment
2024-01-01,Spotify,517660.02,Entertainment
2024-01-18,Electricity Bill,5.07,Bills
2024-01-02,Flipkart,46.64,Shopping
2024-01-28,Netflix,14.18,Entertainment
2024-01-02,Uber,19.59,Transport
2024-01-14,Miscellaneous,24.61,Other
2024-01-22,Water Bill,56.36,Bills
2024-01-23,Interest Credit,3.49,Income
2024-01-19,Internet Bill,52.54,Bills
2024-01-12,Interest Credit,72.35,Income
2024-01-27,Swiggy,5.1,Food
2024-01-19,YouTube Premium,740923.34,Entertainment
2024-01-06,Refund,44.4,Income
2024-01-01,Miscellaneous,111.56,Other
2024-01-24,Concert,6.08,Entertainment
2024-01-02,Lifestyle,18.18,Shopping
2024-01-03,Mobile Recharge,58.85,Bills
2024-01-19,BookMyShow,8.43,Entertainment
2024-01-28,Bonus,29.38,Income
2024-01-08,Dominos,18.38,Food
2024-01-28,Petrol,2.35,Transport
2024-01-11,Cafe Coffee Day,61.57,Food
2024-01-14,Petrol,548316.95,Transport
2024-01-15,Spotify,6.94,Entertainment
2024-01-06,Donation,32.12,Other
2024-01-25,Interest Credit,0.32,Income
2024-01-17,DTH Recharge,15.38,Bills
2024-01-15,Gift,42.39,Other
2024-01-14,Restaurant,17.28,Food
2024-01-19,Bonus,2.07,Income
2024-01-26,Freelance Payment,9.44,Income
2024-01-07,Salary,24.28,Income
2024-01-21,Water Bill,35.23,Bills
2024-01-18,Movie,22.63,Entertainment
2024-01-18,Pizza Hut,12.68,Food
2024-01-03,BookMyShow,52.92,Entertainment
2024-01-16,Donation,129.4,Other
2024-01-12,Freelance Payment,27.23,Income
2024-01-01,Interest Credit,0.51,Income
2024-01-30,Gift,109.49,Other
2024-01-22,DTH Recharge,3.53,Bills
2024-01-21,Bonus,0.23,Income
2024-01-03,Gift,13.58,Other
2024-01-11,Donation,119.13,Other
2024-01-22,BookMyShow,15.07,Entertainment
2024-01-07,Metro,322659.77,Transport
2024-01-22,Concert,0.48,Entertainment
2024-01-29,Gas Bill,23.45,Bills
2024-01-03,Clothing Store,115.29,Shopping
2024-01-20,Interest Credit,27.52,Income
2024-01-16,Cashback,0.04,Other
2024-01-09,Internet Bill,188206.92,Bills
2024-01-24,Salary,951373.8,Income
2024-01-06,Swiggy,40.84,Food
2024-01-14,Lottery,45.58,Other
2024-01-09,Movie,6.97,Entertainment
2024-01-03,Concert,34.91,Entertainment
2024-01-22,Train Ticket,7.33,Transport
2024-01-15,Cab Fare,69.95,Transport
2024-01-21,Cashback,16.42,Other
2024-01-01,Train Ticket,13.57,Transport
2024-01-19,Flipkart,10.41,Shopping
2024-01-03,BookMyShow,65.74,Entertainment
2024-01-16,Cab Fare,82.06,Transport
2024-01-23,BookMyShow,1.75,Entertainment
2024-01-23,Refund,6.39,Income
2024-01-23,Flipkart,16.4,Shopping
2024-01-15,Miscellaneous,5.95,Other
2024-01-21,Shopping Mall,729405.52,Shopping
2024-01-05,Electricity Bill,41.37,Bills
2024-01-26,Refund,49.94,Income
2024-01-23,Uber,626345.03,Transport
2024-01-24,Internet Bill,742972.69,Bills
2024-01-25,Internet Bill,0.86,Bills
2024-01-19,Bus Ticket,21.22,Transport
2024-01-25,Swiggy,7.11,Food
2024-01-16,Gas Bill,11.77,Bills
2024-01-29,Clothing Store,55.01,Shopping
2024-01-09,Big Bazaar,0.65,Food
2024-01-15,Metro,7.76,Transport
2024-01-10,Cab Fare,5.31,Transport
2024-01-13,Electricity Bill,29.07,Bills
2024-01-20,Amusement Park,15.64,Entertainment
2024-01-29,Gift,33.88,Other
2024-01-18,Freelance Payment,24.99,Income
2024-01-03,Concert,18.5,Entertainment
2024-01-27,Ola,34.26,Transport
2024-01-12,BookMyShow,49.58,Entertainment
2024-01-07,Donation,21.12,Other
2024-01-16,Bonus,23.81,Income
2024-01-27,BookMyShow,22.68,Entertainment
2024-01-23,Petrol,32.47,Transport
2024-01-02,Dominos,15.43,Food
2024-01-19,BookMyShow,8.04,Entertainment
2024-01-31,Spotify,17.81,Entertainment
2024-01-16,Interest Credit,101.64,Income
2024-01-01,Interest Credit,86.9,Income
2024-01-03,Cab Fare,22.2,Transport
2024-01-29,YouTube Premium,146.52,Entertainment
2024-01-15,Electricity Bill,8.51,Bills
2024-01-03,Bonus,12.6,Income
2024-01-17,Refund,60.11,Income
2024-01-29,Electricity Bill,9.0,Bills
2024-01-08,Petrol,61.18,Transport
2024-01-30,Electronics Store,16.88,Shopping
2024-01-17,Mobile Recharge,93.62,Bills
2024-01-30,Amazon,937741.67,Shopping
2024-01-08,Salary,20.02,Income
2024-01-22,Pizza Hut,20.56,Food
2024-01-04,Freelance Payment,23.67,Income
2024-01-10,Water Bill,14.63,Bills
2024-01-10,Big Bazaar,79.69,Food
2024-01-02,Big Bazaar,12.27,Food
2024-01-01,Metro,19.86,Transport
2024-01-26,Spotify,27.83,Entertainment
2024-01-01,Salary,-41.73,Income
2024-01-22,Salary,10.93,Income
2024-01-29,Miscellaneous,9.73,Other
2024-01-18,Amazon,3.22,Shopping
2024-01-24,Gift,6.38,Other
2024-01-21,Donation,784797.38,Other
2024-01-16,DTH Recharge,38.27,Bills
2024-01-27,Netflix,12.76,Entertainment
2024-01-16,Cashback,22.11,Other
2024-01-12,Donation,310.57,Other
2024-01-13,Salary,6.73,Income
2024-01-27,Big Bazaar,31.89,Food
2024-01-23,Uber,37.08,Transport
2024-01-02,Refund,17.33,Income
2024-01-09,Swiggy,125.12,Food
2024-01-07,Pizza Hut,25.32,Food
2024-01-15,Petrol,35.34,Transport
2024-01-15,Ola,156.61,Transport
2024-01-18,Bonus,7.56,Income
2024-01-31,Lottery,39.54,Other
2024-01-24,Uber,32.98,Transport
2024-01-25,Salary,-43.75,Income
2024-01-26,Spotify,11.12,Entertainment
2024-01-13,Lifestyle,65.06,Shopping
2024-01-29,Restaurant,7.24,Food
2024-01-11,Cashback,65.12,Other
2024-01-26,Netflix,19.9,Entertainment
2024-01-21,Restaurant,2.25,Food
2024-01-03,Shopping Mall,22.57,Shopping
2024-01-21,Amazon,49.76,Shopping
2024-01-16,Interest Credit,32.21,Income
2024-01-07,Bus Ticket,30.5,Transport
2024-01-31,Dominos,4.23,Food
2024-01-12,Myntra,25.54,Shopping
2024-01-26,Salary,21.45,Income
2024-01-23,Mobile Recharge,57.08,Bills
2024-01-03,Lottery,57.76,Other
2024-01-19,Cashback,33.41,Other
2024-01-27,Metro,10.71,Transport
2024-01-06,Refund,24.93,Income
2024-01-21,BookMyShow,91.13,Entertainment
2024-01-21,Electricity Bill,6.01,Bills
2024-01-14,Electricity Bill,68.62,Bills
2024-01-10,Metro,24.66,Transport
2024-01-13,Uber,13.41,Transport
2024-01-19,Petrol,9.25,Transport
2024-01-31,Metro,35.05,Transport
2024-01-04,Netflix,98.7,Entertainment
2024-01-22,Bus Ticket,11.31,Transport
2024-01-20,Bus Ticket,35.08,Transport
2024-01-23,Miscellaneous,0.48,Other
2024-01-19,Freelance Payment,0.63,Income
2024-01-24,Bus Ticket,278.62,Transport
2024-01-10,Netflix,30.41,Entertainment
2024-01-29,Salary,0.06,Income
2024-01-02,Miscellaneous,24.99,Other
2024-01-30,BookMyShow,13.13,Entertainment
2024-01-26,Amusement Park,54.45,Entertainment
2024-01-30,Metro,2.69,Transport
2024-01-24,Shopping Mall,23.46,Shopping
2024-01-08,Bus Ticket,5.16,Transport
2024-01-28,Shopping Mall,24.33,Shopping
2024-01-12,Bus Ticket,0.4,Transport
2024-01-11,Cashback,47.58,Other
2024-01-08,Metro,7.06,Transport
2024-01-01,BookMyShow,28.51,Entertainment
2024-01-17,BookMyShow,28.39,Entertainment
2024-01-29,Clothing Store,23.39,Shopping
2024-01-01,Cashback,443919.62,Other
2024-01-24,Netflix,32.49,Entertainment
2024-01-21,Lifestyle,10.07,Shopping
2024-01-10,Big Bazaar,0.83,Food
2024-01-22,Amazon,8.67,Shopping
2024-01-12,YouTube Premium,6.22,Entertainment
2024-01-25,Metro,98.66,Transport
2024-01-13,Gift,86.59,Other
2024-01-26,Cab Fare,32.08,Transport
2024-01-22,Food Court,15.96,Food
2024-01-07,Gift,128.1,Other
2024-01-15,Gift,60.34,Other
2024-01-13,Donation,71.89,Other
2024-01-04,Donation,21.15,Other
2024-01-21,Electronics Store,47.95,Shopping
2024-01-20,YouTube Premium,31.58,Entertainment
2024-01-13,Cashback,7.85,Other
2024-01-13,Train Ticket,3.31,Transport
2024-01-07,YouTube Premium,0.46,Entertainment
2024-01-19,Water Bill,12.35,Bills
2024-01-25,Electricity Bill,119662.04,Bills
2024-01-04,Interest Credit,59.18,Income
2024-01-12,Uber,26.5,Transport
2024-01-21,Cab Fare,7.52,Transport
2024-01-15,YouTube Premium,21.61,Entertainment
2024-01-03,Salary,10.02,Income
2024-01-20,Bus Ticket,6.35,Transport
2024-01-23,Concert,1.89,Entertainment
2024-01-24,Bonus,8.32,Income
2024-01-15,Gift,5.0,Other
2024-01-07,Cab Fare,66.99,Transport
2024-01-05,Big Bazaar,50.01,Food
2024-01-18,Interest Credit,11.37,Income
2024-01-15,Dominos,14.47,Food
2024-01-12,Netflix,18.3,Entertainment
2024-01-27,Netflix,105.75,Entertainment
2024-01-27,Electronics Store,21.32,Shopping
2024-01-30,Miscellaneous,4.58,Other
2024-01-08,Cab Fare,6.84,Transport
2024-01-04,Donation,14.51,Other
2024-01-16,Cashback,44.4,Other
2024-01-25,Amusement Park,447658.93,Entertainment
2024-01-02,Cashback,0.77,Other
2024-01-30,Cab Fare,24.15,Transport
2024-01-19,Big Bazaar,542882.81,Food
2024-01-03,Freelance Payment,859431.58,Income
2024-01-13,Electronics Store,8.74,Shopping
2024-01-19,Metro,29.57,Transport
2024-01-03,Water Bill,20.19,Bills
2024-01-31,Myntra,15.38,Shopping
2024-01-08,Netflix,34.61,Entertainment
2024-01-02,Groceries,30.62,Food
2024-01-26,Concert,63.52,Entertainment
2024-01-21,Amusement Park,46.35,Entertainment
2024-01-03,Mobile Recharge,1.43,Bills
2024-01-10,Lifestyle,145.41,Shopping
2024-01-09,Metro,9.78,Transport
2024-01-07,Cashback,20.7,Other
2024-01-22,Miscellaneous,5.17,Other
2024-01-01,Netflix,549593.5,Entertainment
2024-01-31,Freelance Payment,11.27,Income
2024-01-01,Cab Fare,20.81,Transport
2024-01-28,Bonus,602.99,Income
2024-01-13,Gas Bill,4.01,Bills
2024-01-02,Shopping Mall,10.3,Shopping
2024-01-22,Water Bill,12.87,Bills
2024-01-21,Water Bill,727020.09,Bills
2024-01-01,Gift,6.95,Other
2024-01-31,Donation,3.26,Other
2024-01-05,Shopping Mall,26.87,Shopping
2024-01-21,Restaurant,102.31,Food
2024-01-14,Big Bazaar,16.31,Food
2024-01-15,Bus Ticket,50.37,Transport
2024-01-13,Amazon,0.15,Shopping
2024-01-14,Donation,25.77,Other
2024-01-06,Groceries,10.83,Food
2024-01-18,Internet Bill,15.55,Bills
2024-01-29,Pizza Hut,21.56,Food
2024-01-16,Interest Credit,11.69,Income
2024-01-25,Interest Credit,11.77,Income
2024-01-28,Swiggy,0.74,Food
2024-01-27,Lottery,41.61,Other
2024-01-25,Train Ticket,64.08,Transport
2024-01-02,Refund,8.42,Income
2024-01-20,Petrol,64.99,Transport
2024-01-30,Swiggy,36.93,Food
2024-01-13,Big Bazaar,41.33,Food
2024-01-16,Food Court,42.92,Food
2024-01-26,Amazon,33.02,Shopping
2024-01-18,Myntra,14.73,Shopping
2024-01-16,Cab Fare,16.87,Transport
2024-01-18,Gift,79.65,Other
2024-01-04,Mobile Recharge,22.25,Bills
2024-01-19,Big Bazaar,4.41,Food
2024-01-18,Bonus,44.48,Income
2024-01-12,Uber,34.68,Transport
2024-01-14,Lottery,18.95,Other
2024-01-26,Pizza Hut,520316.08,Food
2024-01-16,Gift,45.45,Other
2024-01-05,Concert,9.96,Entertainment
2024-01-09,Restaurant,23.23,Food
2024-01-06,Salary,0.17,Income
2024-01-11,Bus Ticket,5.56,Transport
2024-01-13,Bonus,63.85,Income
2024-01-02,Petrol,16.98,Transport
2024-01-01,Amusement Park,8.8,Entertainment
2024-01-26,Bonus,14.68,Income
2024-01-07,Train Ticket,11.6,Transport
2024-01-12,BookMyShow,10.77,Entertainment
2024-01-10,Gift,50.14,Other
2024-01-06,Movie,8.61,Entertainment
2024-01-21,Bonus,36.67,Income
2024-01-02,Bonus,52.77,Income
2024-01-22,Petrol,15.32,Transport
2024-01-15,Internet Bill,2.19,Bills
2024-01-15,Groceries,9.77,Food
2024-01-29,Clothing Store,23.79,Shopping
2024-01-15,Cashback,35.55,Other
2024-01-05,Gift,11.71,Other
2024-01-18,Refund,0.55,Income
2024-01-06,Bus Ticket,4.01,Transport
2024-01-18,Uber,-85.31,Transport
2024-01-22,Amazon,4.34,Shopping
2024-01-23,Freelance Payment,19.34,Income
2024-01-20,Gift,18.53,Other
2024-01-06,Uber,46.43,Transport
2024-01-12,Clothing Store,86.61,Shopping
2024-01-27,Internet Bill,4.16,Bills
2024-01-22,YouTube Premium,466208.59,Entertainment
2024-01-22,BookMyShow,16.27,Entertainment
2024-01-02,Cashback,8.33,Other
2024-01-25,Bonus,14.92,Income
2024-01-21,Pizza Hut,3.87,Food
2024-01-28,Shopping Mall,57.71,Shopping
2024-01-11,Electricity Bill,10.29,Bills
2024-01-07,Internet Bill,38.54,Bills
2024-01-27,Refund,20.69,Income
2024-01-13,Shopping Mall,29.74,Shopping
